Driver,Best Lap,Ideal Lap,Delta (Ideal - Best)
HAM,101.293,101.076,-0.21699999999999997
LEC,101.367,101.245,-0.122
NOR,102.199,101.647,-0.552
VER,101.902,101.746,-0.15600000000000003
RUS,101.77,101.77,0.0
ANT,101.779,101.779,0.0
ALB,102.177,101.862,-0.31499999999999995
BEA,101.891,101.891,0.0
LAW,101.989,101.989,0.0
SAI,102.255,102.108,-0.14700000000000002
OCO,102.167,102.167,0.0
PIA,102.295,102.182,-0.11299999999999999
HAD,102.443,102.343,-0.09999999999999998
TSU,102.444,102.443,-0.0010000000000000009
BOR,102.561,102.509,-0.052000000000000046
HUL,102.82,102.652,-0.16800000000000004
GAS,102.674,102.674,0.0
STR,102.771,102.771,0.0
ALO,102.967,102.967,0.0
COL,103.322,103.03,-0.29200000000000004
